央视,#genre#
北京卫视,http://192.168.1.99:5050/udp/239.49.8.11:9414
北京卫视,http://192.168.1.99:5050/udp/239.49.8.141:6000

天津卫视,http://192.168.1.99:5050/udp/239.49.8.35:8620
天津卫视,http://192.168.1.99:5050/udp/239.49.8.148:6000

河北卫视,http://192.168.1.99:5050/udp/239.49.8.114:8000
河北卫视,http://192.168.1.99:5050/udp/239.49.8.188:6000

山西卫视,http://192.168.1.99:5050/

辽宁卫视,http://192.168.1.99:5050/udp/239.49.8.48:8000

吉林卫视,http://192.168.1.99:5050/udp/239.49.8.113:8000

黑龙江卫视,http://192.168.1.99:5050/udp/239.49.8.14:9426
黑龙江卫视,http://192.168.1.99:5050/udp/239.49.8.144:6000

东方卫视,http://192.168.1.99:5050/udp/239.49.8.17:9606
东方卫视,http://192.168.1.99:5050/udp/239.49.8.140:6000

江苏卫视,http://192.168.1.99:5050/udp/239.49.8.16:9602
江苏卫视,http://192.168.1.99:5050/udp/239.49.8.138:6000

浙江卫视,http://192.168.1.99:5050/udp/239.49.8.20:9618
浙江卫视,http://192.168.1.99:5050/udp/239.49.8.139:6000

安徽卫视,http://192.168.1.99:5050/udp/239.49.8.80:8000
安徽卫视,http://192.168.1.99:5050/udp/239.49.8.204:6000

东南卫视,http://192.168.1.99:5050/udp/239.49.8.112:8000

江西卫视,http://192.168.1.99:5050/udp/239.49.8.111:8000
江西卫视,http://192.168.1.99:5050/udp/239.49.8.185:6000

山东卫视,http://192.168.1.99:5050/udp/239.49.8.7:9306
山东卫视,http://192.168.1.99:5050/udp/239.49.8.146:6000

河南卫视,http://192.168.1.99:5050/udp/239.49.8.29:8000

湖北卫视,http://192.168.1.99:5050/udp/239.49.8.8:9632
湖北卫视,http://192.168.1.99:5050/udp/239.49.8.147:6000

湖南卫视,http://192.168.1.99:5050/udp/239.49.8.12:9418
湖南卫视,http://192.168.1.99:5050/udp/239.49.8.142:6000

广东卫视,http://192.168.1.99:5050/udp/239.49.8.13:9422
广东卫视,http://192.168.1.99:5050/udp/239.49.8.143:6000

广西卫视,http://192.168.1.99:5050/udp/239.49.8.10:8000

海南卫视,http://192.168.1.99:5050/udp/239.49.8.83:8000

重庆卫视,http://192.168.1.99:5050/udp/239.49.8.57:9830
重庆卫视,http://192.168.1.99:5050/udp/239.49.8.149:6000

四川卫视,http://192.168.1.99:5050/udp/239.49.8.110:8000

贵州卫视,http://192.168.1.99:5050/udp/239.49.8.49:8000

云南卫视,http://192.168.1.99:5050/udp/239.49.0.177:8000

西藏卫视,http://192.168.1.99:5050/

陕西卫视,http://192.168.1.99:5050/

甘肃卫视,http://192.168.1.99:5050/udp/239.49.0.250:8000

青海卫视,http://192.168.1.99:5050/

宁夏卫视,http://192.168.1.99:5050/

